ID,LIMIT_BAL,SEX_Male,MARRIAGE,AGE,DEFAULT_JULY,ED_Graduate School,ED_High School,ED_Others,ED_University,ED_Unknown,AVG_BILL_AMOUNT,AVG_PAY_STATUS,AVG_PAY_AMOUNT
8401,140000.0,0,2,27,0,0,0,0,1,0,2043.1666666666667,-1.0,2023.3333333333333
9298,500000.0,0,2,29,1,0,0,0,1,0,353551.1666666667,0.0,11738.833333333334
15870,470000.0,1,2,34,0,0,0,0,1,0,55631.0,-1.3333333333333333,26157.0
16064,750000.0,0,1,43,0,0,0,0,1,0,79797.0,-1.1666666666666667,88402.0
17431,60000.0,0,2,33,1,1,0,0,0,0,10603.166666666666,0.0,7091.833333333333
5340,90000.0,1,1,31,0,0,1,0,0,0,61255.5,0.0,4173.333333333333
10565,240000.0,0,3,39,0,0,0,0,1,0,103770.83333333333,0.0,3534.8333333333335
5933,500000.0,0,2,26,0,1,0,0,0,0,8928.5,-1.5,3692.8333333333335
2007,120000.0,1,1,34,0,0,0,0,1,0,6500.666666666667,-0.6666666666666666,7923.5
8776,100000.0,0,1,35,1,0,1,0,0,0,98721.66666666667,2.0,5050.0
6841,190000.0,0,1,31,0,1,0,0,0,0,4523.0,0.16666666666666666,6620.666666666667
5226,200000.0,1,1,42,0,1,0,0,0,0,0.0,-1.5,0.0
20446,260000.0,0,1,33,1,0,0,0,1,0,114173.66666666667,0.0,10782.0
3660,210000.0,1,2,30,0,1,0,0,0,0,135506.83333333334,0.0,5441.833333333333
28814,10000.0,1,2,21,0,0,0,0,1,0,8865.333333333334,0.0,552.8333333333334
4166,190000.0,1,2,26,0,0,0,0,1,0,45034.5,1.0,5333.333333333333
6985,170000.0,0,2,23,0,1,0,0,0,0,14058.333333333334,0.0,2048.3333333333335
15398,160000.0,0,2,31,0,1,0,0,0,0,1599.8333333333333,-1.1666666666666667,1783.6666666666667
8688,320000.0,0,2,28,0,1,0,0,0,0,157632.83333333334,0.0,9049.833333333334
22731,60000.0,0,2,22,1,0,0,0,1,0,47697.0,0.0,1834.5
7328,200000.0,0,1,47,0,0,1,0,0,0,0.0,-1.5,0.0
24426,260000.0,0,1,53,0,1,0,0,0,0,665.1666666666666,-0.5,827.0
26653,50000.0,1,1,38,0,0,0,0,1,0,20029.333333333332,0.0,1500.0
28076,70000.0,0,1,33,0,0,0,0,1,0,28893.166666666668,0.0,2985.6666666666665
14787,510000.0,1,2,32,0,1,0,0,0,0,61535.5,0.0,2416.6666666666665
2200,300000.0,1,2,41,0,0,0,0,1,0,15482.166666666666,0.0,4943.166666666667
9928,160000.0,0,2,32,0,1,0,0,0,0,364.8333333333333,-2.0,356.5
20814,350000.0,0,1,34,0,0,0,0,1,0,23684.666666666668,0.5,1283.3333333333333
5462,120000.0,1,2,30,0,1,0,0,0,0,0.0,-2.0,0.0
10051,180000.0,0,2,28,0,0,0,0,1,0,13064.5,0.0,1171.1666666666667
22595,250000.0,0,1,43,0,0,0,0,1,0,17258.666666666668,-1.0,9324.666666666666
4693,570000.0,1,2,31,0,1,0,0,0,0,31557.833333333332,-0.16666666666666666,7958.333333333333
3521,50000.0,0,2,25,1,0,0,0,1,0,35799.333333333336,0.0,1750.0
3319,280000.0,0,2,29,1,1,0,0,0,0,0.0,-2.0,0.0
19529,20000.0,1,2,39,1,0,0,0,1,0,19455.0,1.0,1194.0
22485,200000.0,1,1,40,0,0,0,0,1,0,237831.66666666666,0.6666666666666666,37523.0
19156,100000.0,1,1,43,0,0,0,0,1,0,183.66666666666666,-1.0,91.83333333333333
45,220000.0,1,2,29,0,1,0,0,0,0,120825.5,0.0,5738.833333333333
18476,50000.0,1,2,24,0,0,0,0,1,0,17668.833333333332,0.0,916.5
27957,50000.0,1,1,38,0,0,1,0,0,0,10752.666666666666,0.0,708.5
19314,260000.0,0,1,48,0,1,0,0,0,0,2778.6666666666665,-1.0,833.3333333333334
606,140000.0,0,2,32,0,1,0,0,0,0,15674.833333333334,-0.16666666666666666,6131.333333333333
5859,30000.0,1,2,47,0,0,0,0,1,0,524.6666666666666,-0.8333333333333334,392.6666666666667
21838,300000.0,0,2,37,0,1,0,0,0,0,24277.166666666668,0.5,710.5
26174,230000.0,1,1,40,0,1,0,0,0,0,0.0,-2.0,0.0
26538,30000.0,0,2,30,0,1,0,0,0,0,27656.833333333332,0.0,800.0
7509,100000.0,0,1,49,0,0,1,0,0,0,41737.0,0.0,2170.5
24032,200000.0,0,2,29,0,0,1,0,0,0,4559.833333333333,-0.6666666666666666,3498.6666666666665
5753,200000.0,1,1,37,0,0,0,0,1,0,7597.5,0.0,1166.6666666666667
9348,220000.0,1,2,28,0,1,0,0,0,0,156404.33333333334,0.0,8000.0
20374,100000.0,1,2,25,1,0,1,0,0,0,88521.33333333333,1.0,3542.0
24620,500000.0,0,1,54,0,0,0,0,0,1,358935.0,0.0,13297.666666666666
27332,130000.0,0,1,45,0,0,0,0,1,0,1178.3333333333333,-0.5,850.0
27297,330000.0,1,1,37,0,0,1,0,0,0,0.0,-2.0,0.0
12325,150000.0,0,1,28,0,0,0,0,1,0,84699.0,0.0,3455.8333333333335
26720,50000.0,0,2,28,0,1,0,0,0,0,5113.0,-1.3333333333333333,49.0
2407,50000.0,1,1,54,0,0,0,0,1,0,34610.166666666664,0.6666666666666666,911.3333333333334
22065,310000.0,1,2,29,0,0,0,0,1,0,6830.666666666667,1.6666666666666667,6984.5
26953,50000.0,0,2,23,0,1,0,0,0,0,42404.5,0.0,1931.5
12802,220000.0,0,2,28,0,1,0,0,0,0,5917.166666666667,-0.6666666666666666,4944.333333333333
7771,80000.0,0,1,44,0,0,0,0,1,0,871.0,-0.6666666666666666,491.6666666666667
4469,50000.0,1,2,31,0,1,0,0,0,0,44659.0,0.0,1523.0
8954,90000.0,0,1,40,0,0,1,0,0,0,12129.333333333334,0.0,1475.5
3896,50000.0,0,2,36,0,0,0,0,1,0,63065.333333333336,0.0,2414.0
23525,80000.0,1,2,32,0,0,0,0,1,0,46583.666666666664,0.0,1601.8333333333333
15902,250000.0,1,2,35,1,1,0,0,0,0,171547.0,2.0,9950.0
16390,80000.0,0,2,25,1,0,0,0,1,0,31255.5,0.8333333333333334,1407.3333333333333
13053,320000.0,1,2,31,0,1,0,0,0,0,42716.5,-0.3333333333333333,11516.833333333334
21839,500000.0,0,1,44,0,1,0,0,0,0,41330.666666666664,-1.0,42719.666666666664
20402,60000.0,0,3,35,0,0,0,0,1,0,14552.5,0.3333333333333333,1500.0
17303,100000.0,1,2,24,1,0,0,0,1,0,66043.66666666667,0.0,4250.0
1784,60000.0,0,2,25,0,1,0,0,0,0,4156.666666666667,-1.1666666666666667,5209.166666666667
21317,130000.0,0,1,25,0,0,0,0,1,0,86590.16666666667,0.0,5717.0
9322,160000.0,1,1,28,0,0,0,0,1,0,216.66666666666666,-1.3333333333333333,424.0
20143,200000.0,1,2,31,0,1,0,0,0,0,20125.166666666668,-0.8333333333333334,21471.166666666668
14921,100000.0,0,1,44,0,0,0,0,1,0,2659.0,-1.0,1120.6666666666667
8468,200000.0,0,1,27,0,0,0,0,1,0,5212.833333333333,-1.0,3105.5
24935,50000.0,0,1,33,0,0,0,0,0,1,33629.166666666664,0.0,968.5
29472,310000.0,0,1,44,0,0,0,0,1,0,83.33333333333333,-1.6666666666666667,0.0
21484,300000.0,0,2,32,0,1,0,0,0,0,53.333333333333336,-2.0,55.333333333333336
6050,50000.0,1,2,26,1,1,0,0,0,0,1785.5,0.5,933.3333333333334
19168,150000.0,0,1,40,0,0,0,0,1,0,72709.66666666667,0.0,2652.8333333333335
3066,140000.0,1,2,26,0,0,0,0,1,0,89784.83333333333,0.0,3010.8333333333335
17557,260000.0,0,1,44,1,0,1,0,0,0,177762.33333333334,0.0,6137.166666666667
29903,300000.0,0,2,29,0,1,0,0,0,0,14538.666666666666,-0.6666666666666666,11970.833333333334
5603,180000.0,0,1,32,1,0,0,0,1,0,17933.666666666668,1.1666666666666667,2000.0
28197,80000.0,0,1,50,0,1,0,0,0,0,0.0,-1.5,0.0
4922,120000.0,0,1,28,0,0,0,0,1,0,84492.0,0.0,3547.1666666666665
19404,310000.0,1,2,30,0,0,0,0,1,0,241109.33333333334,0.0,9217.666666666666
25901,80000.0,1,1,32,0,0,0,0,1,0,43580.0,0.0,3002.8333333333335
28980,50000.0,1,2,25,1,0,0,0,1,0,41568.333333333336,0.3333333333333333,1850.6666666666667
12687,280000.0,0,2,28,0,0,0,0,1,0,0.0,-2.0,0.0
12667,270000.0,1,2,44,0,0,0,0,1,0,247403.83333333334,0.0,9401.166666666666
9952,150000.0,0,2,24,1,0,0,0,1,0,23301.5,0.5,2473.6666666666665
29211,240000.0,0,1,38,1,1,0,0,0,0,111996.66666666667,2.0,4750.0
11319,10000.0,1,2,23,0,0,0,0,1,0,8537.833333333334,0.0,1033.3333333333333
17657,310000.0,0,2,36,0,1,0,0,0,0,49814.5,-2.0,83050.66666666667
21675,360000.0,1,1,35,0,0,0,0,1,0,366.3333333333333,-0.5,541.6666666666666
16798,10000.0,1,2,24,1,0,0,0,1,0,7743.5,1.3333333333333333,770.8333333333334
23399,60000.0,1,1,44,0,0,0,0,1,0,46129.166666666664,0.0,2248.0
9153,130000.0,0,1,30,0,0,0,0,1,0,108560.5,-0.16666666666666666,25747.0
21147,360000.0,0,2,32,0,1,0,0,0,0,16558.833333333332,-0.5,11450.833333333334
25374,300000.0,0,1,29,0,0,0,0,1,0,2485.5,-0.8333333333333334,5801.833333333333
26395,240000.0,1,2,30,0,0,0,0,1,0,107338.33333333333,-0.16666666666666666,8184.5
8283,150000.0,0,2,37,0,1,0,0,0,0,110621.16666666667,0.0,3918.1666666666665
28430,100000.0,0,1,39,0,0,0,0,1,0,64622.5,0.0,1908.1666666666667
18108,10000.0,1,2,48,0,0,1,0,0,0,7625.166666666667,0.0,430.6666666666667
9750,400000.0,0,2,31,0,1,0,0,0,0,5199.5,-2.0,12020.666666666666
10151,180000.0,0,2,24,1,0,0,0,1,0,11250.166666666666,-0.16666666666666666,5492.5
1603,60000.0,1,1,51,0,0,0,0,1,0,39255.0,0.0,3006.6666666666665
11839,30000.0,0,2,24,1,0,1,0,0,0,27848.0,0.0,2083.3333333333335
26438,70000.0,0,2,29,0,0,0,0,1,0,4020.3333333333335,0.16666666666666666,1528.3333333333333
9897,200000.0,0,2,29,0,1,0,0,0,0,2427.1666666666665,-1.0,2305.5
2717,180000.0,0,1,45,0,1,0,0,0,0,23204.333333333332,0.3333333333333333,2308.0
24349,50000.0,1,1,51,0,0,1,0,0,0,38464.333333333336,0.0,1223.6666666666667
20862,160000.0,1,2,33,0,1,0,0,0,0,16.666666666666668,-1.6666666666666667,0.0
14344,210000.0,1,2,29,0,1,0,0,0,0,161647.16666666666,0.0,5812.0
427,50000.0,0,2,23,0,0,1,0,0,0,28062.0,0.0,1166.0
11994,40000.0,0,2,25,0,0,0,0,1,0,36526.5,0.3333333333333333,1597.0
10941,50000.0,1,1,46,1,0,1,0,0,0,12429.0,1.8333333333333333,800.0
13494,330000.0,0,2,34,0,1,0,0,0,0,30042.833333333332,-0.3333333333333333,13587.166666666666
24444,100000.0,0,2,25,0,1,0,0,0,0,0.0,-2.0,0.0
24320,20000.0,0,2,34,0,0,1,0,0,0,19567.5,1.5,900.6666666666666
15742,180000.0,0,1,34,1,0,0,0,1,0,4824.166666666667,-0.8333333333333334,4331.0
29654,150000.0,0,1,38,0,0,0,0,1,0,15519.166666666666,-1.0,10268.166666666666
15356,50000.0,1,2,37,0,1,0,0,0,0,19525.5,0.6666666666666666,2521.3333333333335
22958,270000.0,0,2,50,0,1,0,0,0,0,1518.8333333333333,-0.8333333333333334,1090.0
18566,20000.0,0,1,46,1,0,0,0,1,0,18756.833333333332,1.3333333333333333,953.3333333333334
6765,300000.0,1,2,37,0,1,0,0,0,0,45315.333333333336,0.0,1401.5
15817,360000.0,0,2,29,0,1,0,0,0,0,4750.333333333333,-2.0,4374.166666666667
15177,10000.0,0,1,37,1,0,0,0,1,0,8728.666666666666,1.1666666666666667,630.8333333333334
10928,60000.0,1,2,23,0,1,0,0,0,0,46884.166666666664,0.0,1619.1666666666667
17745,80000.0,0,2,35,0,0,0,0,1,0,28870.833333333332,-0.5,6566.0
21762,240000.0,1,2,26,0,0,0,0,1,0,172684.0,0.0,6720.5
2969,230000.0,1,2,30,0,1,0,0,0,0,86042.83333333333,0.0,40000.0
2883,260000.0,0,1,40,0,1,0,0,0,0,1920.6666666666667,-2.0,2601.8333333333335
3606,350000.0,0,1,33,0,0,0,0,1,0,116082.0,-0.8333333333333334,29336.166666666668
27401,30000.0,1,1,44,1,0,1,0,0,0,21435.166666666668,1.1666666666666667,1783.3333333333333
19323,20000.0,1,1,44,0,0,0,0,1,0,12007.666666666666,0.3333333333333333,1833.3333333333333
15803,100000.0,0,1,39,0,0,0,0,1,0,86.33333333333333,-2.0,0.0
230,50000.0,1,1,48,0,0,1,0,0,0,9422.833333333334,0.0,751.6666666666666
9262,330000.0,0,1,34,0,0,0,0,0,1,158754.0,0.0,23666.666666666668
13590,50000.0,0,1,32,0,0,0,0,1,0,28431.333333333332,0.3333333333333333,2557.0
2383,200000.0,1,2,30,0,1,0,0,0,0,11854.166666666666,-0.8333333333333334,7239.333333333333
4688,50000.0,0,1,30,1,0,0,0,1,0,32402.5,0.3333333333333333,1645.0
3392,210000.0,0,1,39,0,1,0,0,0,0,3209.8333333333335,-1.0,2229.0
26782,120000.0,0,3,43,0,0,0,0,1,0,47351.166666666664,0.0,1626.3333333333333
16601,350000.0,1,1,58,0,1,0,0,0,0,743.8333333333334,-2.0,681.3333333333334
21654,290000.0,1,1,55,0,0,1,0,0,0,30962.0,0.0,5000.0
6336,60000.0,1,3,43,0,0,1,0,0,0,61446.166666666664,0.0,2384.1666666666665
8006,100000.0,0,2,29,0,0,1,0,0,0,3587.3333333333335,-1.5,3543.1666666666665
6958,30000.0,1,1,34,0,0,0,0,1,0,27425.833333333332,0.6666666666666666,1311.3333333333333
11848,220000.0,0,1,33,0,1,0,0,0,0,164024.5,0.0,8588.666666666666
13913,300000.0,1,1,48,0,0,0,0,1,0,0.0,-1.5,0.0
28328,50000.0,1,2,35,0,0,0,0,1,0,24822.333333333332,0.0,959.6666666666666
12764,10000.0,0,2,23,0,1,0,0,0,0,0.0,-1.5,0.0
18751,110000.0,1,1,55,0,0,0,0,1,0,92097.0,0.0,3564.8333333333335
15974,320000.0,1,1,38,0,1,0,0,0,0,27253.666666666668,0.0,3583.3333333333335
16228,30000.0,1,2,35,1,0,0,0,1,0,24197.166666666668,1.0,1676.8333333333333
17785,250000.0,0,1,45,0,0,0,0,1,0,3281.0,-2.0,2961.5
21633,50000.0,1,1,35,1,0,1,0,0,0,43429.666666666664,0.0,1563.8333333333333
12908,50000.0,0,2,42,0,0,0,0,1,0,40606.166666666664,0.0,1107.0
26728,140000.0,0,2,25,0,1,0,0,0,0,49213.0,0.0,3333.3333333333335
22483,70000.0,1,2,27,0,1,0,0,0,0,45553.333333333336,0.0,2000.0
6664,20000.0,1,1,35,1,1,0,0,0,0,14906.666666666666,0.8333333333333334,5291.666666666667
23805,350000.0,0,2,27,0,0,0,0,1,0,17790.0,0.0,1000.0
27826,250000.0,0,1,39,0,0,0,0,1,0,55725.166666666664,-0.3333333333333333,8514.0
9857,110000.0,1,2,28,1,1,0,0,0,0,83593.5,0.0,3138.6666666666665
3272,80000.0,1,2,25,0,1,0,0,0,0,1297.5,-0.5,891.1666666666666
6366,50000.0,0,1,40,0,0,0,0,1,0,9102.333333333334,0.3333333333333333,831.1666666666666
6622,180000.0,1,2,36,0,0,0,0,1,0,133257.33333333334,0.0,5933.333333333333
20920,70000.0,1,2,40,1,1,0,0,0,0,48435.833333333336,1.0,2335.0
10493,120000.0,1,1,36,0,1,0,0,0,0,29230.666666666668,-0.16666666666666666,7648.333333333333
10400,90000.0,0,1,29,0,0,1,0,0,0,79187.0,0.0,3246.0
28603,140000.0,0,2,25,0,1,0,0,0,0,19427.166666666668,0.0,2116.5
22844,90000.0,0,1,54,1,0,1,0,0,0,300.8333333333333,-2.0,300.8333333333333
4235,50000.0,1,1,46,0,0,0,0,1,0,25378.833333333332,-0.8333333333333334,8810.166666666666
1567,210000.0,1,1,44,1,0,1,0,0,0,6263.0,-0.16666666666666666,0.0
20719,80000.0,1,1,34,1,0,1,0,0,0,74183.16666666667,1.8333333333333333,2539.5
25101,50000.0,0,1,40,0,0,0,0,1,0,38872.5,0.0,1501.8333333333333
25189,210000.0,0,2,34,0,1,0,0,0,0,3505.6666666666665,-1.0,2660.1666666666665
9010,120000.0,0,2,26,0,0,1,0,0,0,677.3333333333334,-1.0,599.5
15250,130000.0,0,2,28,0,1,0,0,0,0,2651.6666666666665,-1.0,2438.8333333333335
5069,170000.0,0,1,37,0,0,0,0,1,0,146176.83333333334,0.0,5566.666666666667
24270,300000.0,0,1,30,1,1,0,0,0,0,80200.0,0.0,17250.0
12176,180000.0,1,2,29,1,1,0,0,0,0,173.33333333333334,-1.5,173.33333333333334
13911,20000.0,0,2,24,1,0,0,0,1,0,5091.333333333333,0.8333333333333334,990.1666666666666
17470,70000.0,0,2,28,0,0,0,0,1,0,70013.5,0.0,2876.6666666666665
2320,10000.0,0,2,21,0,1,0,0,0,0,7608.0,0.3333333333333333,635.0
17919,150000.0,1,2,26,0,1,0,0,0,0,44308.0,-1.3333333333333333,33301.833333333336
28359,20000.0,1,2,36,1,0,0,0,1,0,2400.0,4.666666666666667,0.0
1680,50000.0,0,1,43,0,0,1,0,0,0,4198.0,0.0,980.0
25137,10000.0,1,2,23,1,1,0,0,0,0,9259.166666666666,0.8333333333333334,681.8333333333334
20037,110000.0,1,2,34,0,0,0,0,1,0,86277.66666666667,0.0,2936.8333333333335
2081,210000.0,0,1,34,0,0,0,0,1,0,18594.5,0.0,2000.0
23074,210000.0,0,2,28,0,0,0,0,1,0,262.8333333333333,-2.0,262.8333333333333
22694,50000.0,1,1,44,1,0,0,0,1,0,31863.333333333332,1.1666666666666667,2176.0
17782,80000.0,0,2,33,0,1,0,0,0,0,78099.33333333333,0.8333333333333334,3159.8333333333335
25346,30000.0,0,2,38,0,1,0,0,0,0,965.5,-2.0,1080.8333333333333
25986,350000.0,0,1,33,0,1,0,0,0,0,6920.166666666667,-2.0,9964.333333333334
29559,310000.0,1,2,29,1,1,0,0,0,0,27840.0,0.3333333333333333,1734.0
16782,50000.0,0,1,24,0,0,0,0,1,0,10745.166666666666,-0.16666666666666666,3384.0
27632,20000.0,1,2,39,1,0,0,0,1,0,17555.166666666668,0.16666666666666666,1050.0
4980,110000.0,0,1,37,0,0,0,0,1,0,22894.333333333332,0.0,1244.8333333333333
18951,500000.0,0,1,31,0,0,0,0,1,0,15995.833333333334,0.0,1300.8333333333333
21707,220000.0,0,1,31,0,1,0,0,0,0,147265.33333333334,0.0,8328.333333333334
2086,20000.0,1,2,24,0,0,0,0,1,0,16652.333333333332,0.3333333333333333,1177.6666666666667
8069,50000.0,0,1,45,1,0,1,0,0,0,24185.333333333332,0.3333333333333333,862.3333333333334
21235,80000.0,1,1,34,0,0,0,0,1,0,4576.666666666667,-1.0,833.3333333333334
25328,20000.0,1,2,31,0,1,0,0,0,0,1289.8333333333333,-1.5,1305.6666666666667
22607,120000.0,0,2,28,0,1,0,0,0,0,1041.3333333333333,-0.8333333333333334,1197.6666666666667
6913,50000.0,1,2,26,0,1,0,0,0,0,15748.666666666666,0.0,1646.6666666666667
6055,320000.0,0,2,50,0,1,0,0,0,0,6348.333333333333,-0.6666666666666666,3202.6666666666665
4849,70000.0,1,2,30,0,0,0,0,1,0,66913.16666666667,0.0,2488.8333333333335
16374,500000.0,0,1,49,0,1,0,0,0,0,421890.1666666667,0.0,17980.166666666668
23303,140000.0,0,1,44,1,0,0,0,1,0,89979.0,0.0,6041.666666666667
483,240000.0,1,1,36,0,0,0,0,1,0,121856.0,0.0,27753.5
27186,260000.0,1,2,31,0,0,0,0,1,0,105414.83333333333,-0.5,33209.333333333336
10943,70000.0,1,2,26,0,0,0,0,1,0,49977.666666666664,0.3333333333333333,2338.3333333333335
2569,60000.0,1,1,58,0,0,1,0,0,0,23615.833333333332,1.0,757.6666666666666
5003,60000.0,0,2,22,1,0,0,0,1,0,32114.833333333332,0.3333333333333333,1281.8333333333333
26412,350000.0,1,1,50,0,0,0,0,1,0,121298.83333333333,0.0,21862.833333333332
6524,360000.0,0,2,26,0,1,0,0,0,0,2799.6666666666665,-1.0,3184.6666666666665
8989,30000.0,0,2,45,0,0,1,0,0,0,115.0,-2.0,270.0
21817,100000.0,1,2,34,1,0,0,0,1,0,58194.5,2.0,2833.3333333333335
22336,60000.0,0,2,28,0,1,0,0,0,0,7406.0,0.0,380.8333333333333
21908,50000.0,0,1,23,0,0,0,0,1,0,43338.833333333336,0.0,1570.8333333333333
2977,360000.0,0,2,29,1,1,0,0,0,0,988.3333333333334,-1.1666666666666667,441.6666666666667
9224,60000.0,0,2,28,0,1,0,0,0,0,8366.0,0.3333333333333333,889.3333333333334
19510,300000.0,0,1,40,0,1,0,0,0,0,37299.666666666664,-0.6666666666666666,25393.5
23068,130000.0,0,2,23,0,0,0,0,1,0,40335.666666666664,0.0,6500.333333333333
16256,100000.0,0,1,42,1,0,0,0,1,0,82460.33333333333,0.6666666666666666,2571.3333333333335
972,20000.0,1,2,23,0,0,1,0,0,0,16085.666666666666,0.16666666666666666,3936.5
22580,360000.0,1,2,35,0,1,0,0,0,0,370.0,-1.6666666666666667,0.0
22094,50000.0,0,1,51,1,0,1,0,0,0,26506.666666666668,0.0,1774.5
17932,100000.0,0,1,34,1,0,0,0,1,0,1357.8333333333333,0.0,1296.3333333333333
23232,80000.0,1,2,30,0,0,0,0,1,0,42491.166666666664,0.0,1519.8333333333333
20936,70000.0,0,1,44,0,0,0,0,1,0,47700.0,0.0,2166.6666666666665
2181,290000.0,1,1,46,0,0,0,0,1,0,155336.33333333334,0.0,5874.833333333333
14471,80000.0,0,2,51,0,0,0,0,0,1,6261.333333333333,-0.16666666666666666,1898.5
21109,300000.0,1,1,29,0,0,0,0,1,0,9412.0,-0.3333333333333333,4885.333333333333
24864,280000.0,0,1,40,0,1,0,0,0,0,211606.0,0.0,7541.333333333333
6837,80000.0,0,2,24,0,1,0,0,0,0,5452.333333333333,0.5,2172.0
665,140000.0,1,2,41,0,0,0,0,1,0,78707.0,0.0,2765.0
16882,130000.0,0,2,30,1,1,0,0,0,0,128994.33333333333,1.6666666666666667,4433.666666666667
985,70000.0,0,1,38,0,0,0,0,1,0,20755.333333333332,0.0,1182.6666666666667
21513,80000.0,0,1,43,0,0,0,0,1,0,72448.5,0.0,9250.0
24263,400000.0,0,2,42,0,0,0,0,1,0,32621.833333333332,-0.6666666666666666,16045.666666666666
29396,210000.0,0,2,33,0,1,0,0,0,0,0.0,-2.0,0.0
5520,50000.0,1,1,49,0,1,0,0,0,0,38976.666666666664,0.0,1712.3333333333333
13093,210000.0,0,2,32,0,0,0,0,1,0,52464.166666666664,0.0,4583.333333333333
29670,130000.0,1,2,49,1,1,0,0,0,0,71391.16666666667,2.0,2933.3333333333335
21849,420000.0,0,1,47,0,1,0,0,0,0,34251.5,-0.16666666666666666,12673.833333333334
9851,30000.0,1,2,53,0,0,1,0,0,0,6835.0,-1.0,500.0
11758,70000.0,1,2,26,0,1,0,0,0,0,19060.333333333332,-0.16666666666666666,11127.666666666666
26225,50000.0,1,1,37,0,0,0,0,1,0,36406.5,0.3333333333333333,4492.333333333333
18178,30000.0,1,1,52,0,1,0,0,0,0,18267.0,0.3333333333333333,1100.0
5532,240000.0,1,1,42,0,0,1,0,0,0,235646.16666666666,2.0,7412.5
17163,250000.0,0,2,40,0,0,0,0,1,0,1027.8333333333333,-2.0,1741.1666666666667
54,240000.0,0,1,40,0,0,0,0,1,0,5568.333333333333,-1.0,5254.666666666667
9148,60000.0,0,1,47,1,0,1,0,0,0,20263.166666666668,0.0,3516.5
27673,100000.0,0,1,36,0,0,1,0,0,0,313.3333333333333,-1.0,50.0
5183,30000.0,1,2,25,1,0,0,0,1,0,15539.666666666666,2.0,750.0
19038,50000.0,0,1,52,0,0,0,0,1,0,1345.3333333333333,-1.5,1555.8333333333333
23314,110000.0,0,2,27,1,0,0,0,1,0,51399.166666666664,0.5,1615.0
17565,200000.0,1,2,36,0,1,0,0,0,0,73199.33333333333,0.0,3452.0
14540,450000.0,1,2,32,0,1,0,0,0,0,497.3333333333333,-1.3333333333333333,326.6666666666667
342,20000.0,1,2,25,0,0,0,0,1,0,15643.333333333334,0.3333333333333333,1483.3333333333333
1490,50000.0,1,2,25,0,1,0,0,0,0,49749.0,0.0,2066.6666666666665
7898,170000.0,0,2,26,0,1,0,0,0,0,11335.833333333334,0.0,1553.3333333333333
24098,230000.0,1,2,32,1,0,0,0,1,0,184289.33333333334,2.0,5750.0
4543,190000.0,1,2,40,1,0,0,0,1,0,159881.16666666666,2.0,8100.0
12614,500000.0,0,1,47,0,0,0,0,1,0,101752.16666666667,0.0,5833.333333333333
15067,330000.0,0,2,30,1,0,0,0,1,0,0.0,-2.0,0.0
12068,120000.0,0,1,35,0,0,0,0,1,0,116735.83333333333,0.0,6175.5
11581,460000.0,1,2,28,0,1,0,0,0,0,7898.166666666667,-0.5,2866.1666666666665
10090,240000.0,1,2,36,0,0,1,0,0,0,100131.33333333333,0.0,7500.0
18395,500000.0,0,1,53,0,0,1,0,0,0,1464.3333333333333,-1.0,1394.8333333333333
11241,300000.0,0,1,31,0,1,0,0,0,0,133260.33333333334,0.0,5341.5
19386,140000.0,0,1,44,0,0,1,0,0,0,1869.5,-0.6666666666666666,1872.5
